card_log_number,description,location_name,lower_river_mile,upper_river_mile,Sample Year,sample_datetime,samplers,card_number,position_number,fork_length_cm,poh_length,sex_type_description,mark_types,cwt_bag_number,snout_number,origin_type_description,gilbert_rich,european,card_sequence,species_code,species_description,card_type_description,fishery_type_description,gear_description,otolith_number,dna_number,carcass_tag_number
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,2,74,,Male,Unmarked,,,,3?,0.2,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,569,21JS569,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,3,76,,Male,Unmarked,,,,3?,0.2,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,570,21JS570,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,4,70,,Male,Unmarked,,,,3?,0.2,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,571,21JS571,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,5,70,,Male,Unmarked,,,,3?,0.2,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,572,21JS572,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,6,73,,Male,Unmarked,,,,3?,0.2,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,573,21JS573,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,7,65,,Male,Unmarked,,,,3?,0.2,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,574,21JS574,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,8,66,,Male,Unmarked,,,,,,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,575,21JS575,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,9,68,,Male,Unmarked,,,,3?,0.2,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,576,21JS576,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,10,68,,Male,Unmarked,,,,3?,0.2,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,577,21JS577,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,11,81,,Male,Unmarked,,,,5?,0.4,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,578,,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,12,72,,Female,Unmarked,,,,4?,0.3,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,579,21JS579,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,13,69,,Female,Unmarked,,,,3?,0.2,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,580,21JS580,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,14,68,,Female,Unmarked,,,,3?,0.2,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,581,21JS581,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,15,66,,Female,Unmarked,,,,3?,0.2,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,582,21JS582,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,16,68,,Female,Unmarked,,,,4?,0.3,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,583,21JS583,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,17,64,,Female,Unmarked,,,,3?,0.2,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,584,21JS584,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,18,66,,Female,Unmarked,,,,4?,0.3,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,585,21JS585,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,19,60,,Female,Unmarked,,,,3?,0.2,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,586,21JS586,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79137,20,71,,Female,Unmarked,,,,3?,0.2,6,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,587,21JS587,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79138,1,79,,Female,Unmarked,,,,5?,0.4,7,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,588,21JS588,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79138,2,71,,Female,Unmarked,,,,3?,0.2,7,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,589,21JS589,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79138,3,69,,Female,Unmarked,,,,3?,0.2,7,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,590,21JS590,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-23,LL,A79138,4,67,,Female,Unmarked,,,,3?,0.2,7,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,591,21JS591,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,1,75,,Female,Unmarked,,,,5?,0.4,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,612,21JS612,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,2,74,,Female,Unmarked,,,,3?,0.2,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,613,21JS613,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,3,57,,Female,Unmarked,,,,4?,0.3,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,614,21JS614,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,4,75,,Female,Unmarked,,,,4?,0.3,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,615,21JS615,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,5,77,,Male,Unmarked,,,,3?,0.2,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,616,21JS616,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,6,71,,Male,Unmarked,,,,3?,0.2,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,617,21JS617,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,7,73,,Male,Unmarked,,,,3?,0.2,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,618,21JS618,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,8,69,,Male,Unmarked,,,,3?,0.2,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,619,21JS619,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,9,66,,Male,Unmarked,,,,3?,0.2,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,620,21JS620,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,10,72,,Male,Unmarked,,,,3?,0.2,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,621,21JS621,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,11,82,,Male,Unmarked,,,,4?,0.3,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,622,21JS622,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,12,83,,Male,Unmarked,,,,3?,0.2,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,623,21JS623,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,13,56,,Male,Unmarked,,,,3?,0.2,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,624,21JS624,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,14,71,,Male,Unmarked,,,,3?,0.2,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,625,21JS625,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,15,67,,Male,Unmarked,,,,3?,0.2,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,626,21JS626,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,16,71,,Male,Unmarked,,,,3?,0.2,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,627,21JS627,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,17,63,,Male,Unmarked,,,,3?,0.2,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,628,21JS628,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,18,70,,Male,Unmarked,,,,4?,0.3,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,629,21JS629,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,19,79,,Male,Unmarked,,,,3?,0.2,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,630,21JS630,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79139,20,70,,Male,Unmarked,,,,3?,0.2,9,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,631,21JS631,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79145,1,66,,Male,Unmarked,,,,3?,0.2,10,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,632,21JS632,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79145,2,72,,Male,Unmarked,,,,,,10,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,633,21JS633,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79145,3,74,,Male,Unmarked,,,,3?,0.2,10,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,634,21JS634,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79145,4,71,,Male,Unmarked,,,,3?,0.2,10,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,635,21JS635,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79145,5,75,,Male,Unmarked,,,,3?,0.2,10,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,636,21JS636,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79145,6,73,,Male,Unmarked,,,,4?,0.3,10,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,637,21JS637,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79145,7,67,,Male,Unmarked,,,,4?,0.3,10,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,638,21JS638,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79145,8,72,,Male,Unmarked,,,,3?,0.2,10,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,639,21JS639,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79145,9,82,,Male,Unmarked,,,,4?,0.3,10,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,640,21JS640,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79145,10,68,,Male,Unmarked,,,,4?,0.3,10,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,641,21JS641,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79145,11,71,,Male,Unmarked,,,,,,10,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,642,21JS642,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,1,69,,Female,Unmarked,,,,3?,0.2,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,592,21JS592,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,2,69,,Female,Unmarked,,,,3?,0.2,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,593,21JS593,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,3,67,,Female,Unmarked,,,,3?,0.2,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,594,21JS594,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,4,61,,Female,Unmarked,,,,3?,0.2,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,595,21JS595,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,5,76,,Female,Unmarked,,,,4?,0.3,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,596,21JS596,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,6,74,,Female,Unmarked,,,,4?,0.3,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,597,21JS597,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,7,72,,Female,Unmarked,,,,4?,0.3,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,598,21JS598,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,8,68,,Female,Unmarked,,,,3?,0.2,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,599,21JS599,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,9,70,,Female,Unmarked,,,,3?,0.2,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,600,21JS600,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,10,67,,Female,Unmarked,,,,,,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,601,21JS601,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,11,68,,Female,Unmarked,,,,3?,0.2,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,602,21JS602,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,12,69,,Female,Unmarked,,,,3?,0.2,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,603,21JS603,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,13,64,,Female,Unmarked,,,,3?,0.2,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,604,21JS604,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,14,67,,Female,Unmarked,,,,3?,0.2,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,605,21JS605,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,15,69,,Female,Unmarked,,,,3?,0.2,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,606,21JS606,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,16,59,,Female,Unmarked,,,,3?,0.2,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,607,21JS607,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,17,69,,Female,Unmarked,,,,3?,0.2,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,608,21JS608,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,18,67,,Female,Unmarked,,,,3?,0.2,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,609,21JS609,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,19,66,,Female,Unmarked,,,,3?,0.2,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,610,21JS610,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-11-29,LL,A79146,20,70,,Female,Unmarked,,,,3?,0.2,8,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,611,21JS611,
22-2-1-40356,WRIA 07.0943,Wallace River Hatchery,,,2021,2021-12-06,LL,A79140,1,76,,Male,Unmarked,,,,5?,0.4,1,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,643,21JS643,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-10-26,LL,A70112,1,70,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,1,22OZ01,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-10-26,LL,A70112,2,74,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,2,22OZ02,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-10-26,LL,A70112,3,68,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,3,22OZ03,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-10-26,LL,A70112,4,73,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,4,22OZ04,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-10-26,LL,A70112,5,85,,Male,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,5,22OZ05,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-10-26,LL,A70112,6,78,,Male,Unmarked,,,,,,1,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,6,22OZ06,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-10-26,LL,A70112,7,76,,Male,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,7,22OZ07,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-10-26,LL,A70112,8,75,,Male,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,8,22OZ08,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-10-31,LL,A70113,1,74,,Male,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,9,22OZ9,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-10-31,LL,A70113,2,80,,Male,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,10,22OZ10,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-03,LL,A70137,1,71,,Female,Unmarked,,,,,,1,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,11,22OZ11,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-03,LL,A70137,2,79,,Male,Unmarked,,,,,,1,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,12,22OZ12,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-03,LL,A70137,3,73,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,13,22OZ13,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-03,LL,A70137,4,74,,Female,Unmarked,,,,,,1,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,14,22OZ14,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-03,LL,A70137,5,72,,Female,Unmarked,,,,,,1,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,15,22OZ15,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-03,LL,A70137,6,71,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,16,22OZ16,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,1,70,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,17,22OZ17,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,2,72,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,18,22OZ18,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,3,66,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,19,22OZ19,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,4,69,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,20,22OZ20,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,5,63,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,21,22OZ21,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,6,69,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,22,22OZ22,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,7,72,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,23,22OZ23,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,8,68,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,24,22OZ24,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,9,70,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,25,22OZ25,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,10,73,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,26,22OZ26,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,11,78,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,27,22OZ27,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,12,69,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,28,22OZ28,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,13,66,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,29,22OZ29,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,14,69,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,30,22OZ30,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,15,74,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,31,22OZ31,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,16,70,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,32,22OZ32,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,17,64,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,33,22OZ33,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,18,77,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,34,22OZ34,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,19,74,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,35,22OZ35,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70114,20,66,,Female,Unmarked,,,,4?,0.3,1,2,Chum,Regular Card,Non-Treaty,Spwning Ground Survey,36,22OZ36,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70115,1,72,,Female,Unmarked,,,,4?,0.3,2,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,37,22OZ37,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70115,2,68,,Female,Unmarked,,,,4?,0.3,2,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,38,22OZ38,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70115,3,69,,Female,Unmarked,,,,4?,0.3,2,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,39,22OZ39,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70115,4,75,,Male,Unmarked,,,,4?,0.3,2,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,40,22OZ40,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70115,5,77,,Male,Unmarked,,,,4?,0.3,2,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,41,22OZ41,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70115,6,71,,Male,Unmarked,,,,4?,0.3,2,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,42,22OZ42,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70115,7,77,,Male,Unmarked,,,,4?,0.3,2,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,43,22OZ43,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70115,8,71,,Female,Unmarked,,,,4?,0.3,2,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,44,22OZ44,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70115,9,73,,Male,Unmarked,,,,4?,0.3,2,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,45,22OZ45,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70115,10,71,,Male,Unmarked,,,,4?,0.3,2,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,46,22OZ46,
23-1-17-44421,WRIA 07.0943,Wallace River Hatchery,,,2022,2022-11-07,KK/CM,A70115,11,73,,Male,Unmarked,,,,4?,0.3,2,2,Chum,Regular Card,Non-Treaty,Broodstock Collection,47,22OZ47,
